"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"124"	134.24280625	114.5624575	155.97304375	116.9070275	144.00201875	129.3313125	148.395275	117.532234375	113.99127875	136.5574125	102.530786875	122.115765	122.6146825	103.20423	99.378578125	122.047340625
"125"	213.89248125	237.6757375	227.3288875	217.8458	225.50741875	236.0300875	238.03275	210.2058375	224.02711875	216.6859125	240.4471375	247.499025	239.74959375	219.96529375	239.9839125	215.47940625
"126"	4361.560625	4164.290875	4666.126625	4311.0284375	4361.560625	4384.97975	4126.849375	4334.92525	4402.745625	4164.290875	4076.339625	4053.545	4384.97975	4053.545	4286.9185625	4423.024875
"127"	224.253175	230.3318125	196.4771875	185.91669375	178.89160625	204.61505625	181.4456625	186.50141875	188.2278625	184.56143125	205.3079375	222.14439375	200.2518125	196.4771875	184.11165625	189.8176375
"128"	91.96422875	92.456690625	106.75509625	115.128075625	96.95957625	103.4160525	112.07602375	124.6017	134.32135625	121.86806875	113.08509375	104.742691875	126.313925	95.040800625	103.590415	113.77461125
"129"	186.0477375	188.85890625	171.2049	190.2875875	212.4717125	159.85959375	236.6311375	130.17491875	167.0535875	159.49501875	196.10645625	193.24400625	186.87914375	161.5738125	193.8423375	183.61756875
"130"	725.76183125	655.891075	778.9177875	892.84823125	1030.9798375	842.1231875	746.5555	857.29135	919.56631875	785.5666	888.4533	679.10428125	948.09728125	796.9144	782.8135375	840.44325
"131"	488.924975	473.81880625	419.34513125	592.97999375	451.13735	488.924975	487.69114375	490.0080375	516.7852	442.89325	496.9808	516.7852	459.90990625	532.49026875	503.82580625	438.28035625
"132"	1204.8075	1194.0931875	1187.68010625	1249.78475625	1049.91255625	1185.4464625	1262.998775	1276.3604625	1289.5321	1223.48225	1229.2112375	1376.7517375	1216.96630625	1187.68010625	1327.87746875	1282.669425
"133"	1148.52845	1040.38719375	1177.35339375	927.727825	1014.44056875	1061.0682125	998.67553125	966.29824375	950.26305	1177.35339375	938.56641875	1156.09525625	1030.9798375	885.39000625	906.444875	995.03616875
"134"	104.602296875	134.32135625	132.2862	118.56787375	135.379475	131.9807375	129.83619375	113.22562	118.218629375	112.675675	81.83973875	150.05465625	129.56225625	123.40019375	118.218629375	104.883476875
